CustomerID,Name,PostalCode,City,CountryRegion
29485,Catherine Abel,91411,Van Nuys,United States
29486,Kim Abercrombie,55056,Branch,United States
29489,Frances Adams,95354,Modesto,United States
29490,Margaret Smith,83501,Lewiston,United States
29492,Jay Adams,64106,Kansas City,United States
29494,Samuel Agcaoili,M4B 1V5,Toronto,Canada
29496,Robert Ahlering,85701,Tucson,United States
29497,François Ferrier,82601,Casper,United States
29499,Amy Alberts,V6B 3P7,Richmond,Canada
29502,Paul Alcorn,82901,Rock Springs,United States
29503,Gregory Alderson,H1Y 2H5,Montreal,Canada
29505,Michelle Alexander,89030,North Las Vegas,United States
29506,Sean Jacobson,85233,Gilbert,United States
29508,Marvin Allen,77478,Sugar Land,United States
29510,Cecil Allison,K2J 2W5,Nepean,Canada
29511,Oscar Alpuerto,80537,Loveland,United States
29515,Maxwell Amland,T2P 2G8,Calgary,Canada
29517,Ramona Antrim,48601,Saginaw,United States
29521,Tom Johnston,89106,Las Vegas,United States
29522,Thomas Armstrong,90232,Culver City,United States
29523,John Arthur,77003,Houston,United States
29524,Chris Ashton,63074,Saint Ann,United States
29525,Teresa Atkinson,90040,City Of Commerce,United States
29527,Robert Avalos,H1Y 2H7,Montreal,Canada
29528,Stephen Ayers,48195,Southgate,United States
29530,Daniel Blanco,K4B 1T7,Ottawa,Canada
29531,Cory Booth,89106,Las Vegas,United States
29532,James Bailey,59801,Missoula,United States
29533,Douglas Baldwin,49423,Holland,United States
29535,Wayne Banack,77520,Baytown,United States
29536,Robert Barker,48185,Westland,United States
29539,Josh Barnhill,M4B 1V5,Toronto,Canada
29541,Gytis Barzdukas,T2P 2G8,Calgary,Canada
29544,Shaun Beasley,T2P 2G8,Calgary,Canada
29545,John Beaver,98011,Bothell,United States
29546,Christopher Beck,SE1 8HL,London,United Kingdom
29548,Ann Beebe,V8V,Victoria,Canada
29550,Stanley Alan,97222,Milwaukie,United States
29553,Edna Benson,75201,Dallas,United States
29554,Payton Benson,48034,Southfield,United States
29557,Alexander Berger,V6B 3P7,Richmond,Canada
29558,John Berger,L4W 5J3,Mississauga,Canada
29559,Robert Bernacchi,98004,Bellevue,United States
29560,Matthias Berndt,92025,Escondido,United States
29562,Steven Brown,91941,La Mesa,United States
29565,Jimmy Bischoff,92679,Trabuco Canyon,United States
29566,Mae Black,48239,Redford,United States
29567,Jackie Blackwell,M4B 1V6,Toronto,Canada
29568,Donald Blanton,90245,El Segundo,United States
29569,Linda Burnett,57049,North Sioux City,United States
29570,Michael Blythe,77003,Houston,United States
29571,Gabriel Bockenkamp,98055,Renton,United States
29573,Luis Bonifaz,90201,Bell Gardens,United States
29574,Randall Boseman,75201,Dallas,United States
29576,Eli Bowen,L4E 3M5,Richmond Hill,Canada
29577,Lester Bowman,H1Y 2H7,Montreal,Canada
29579,Cornelius Brandon,80030,Westminster,United States
29580,Richard Bready,98104,Seattle,United States
29582,Ted Bremer,98052,Redmond,United States
29583,Alan Brewer,60188,Carol Stream,United States
29584,Walter Brian,90232,Culver City,United States
29585,Christopher Bright,97205,Portland,United States
29587,John Brooks,E17 6JF,London,United Kingdom
29588,Willie Brooks,59401,Great Falls,United States
29590,Jo Brown,48226,Detroit,United States
29591,Robert Brown,63103,Saint Louis,United States
29593,Mary Browning,60610,Chicago,United States
29596,Eric Brumfield,K4B 1S2,Ottawa,Canada
29598,Michael Brundage,92102,San Diego,United States
29599,Shirley Bruner,83864,Sandpoint,United States
29600,June Brunner,48640,Midland,United States
29601,Dirk Bruno,L6W 2T7,Brampton,Canada
29603,Janaina Barreiro Gambaro Bueno,L4E 3M5,Richmond Hill,Canada
29605,Megan Burke,85004,Phoenix,United States
